number,description,customer_id
123587,"Maple Pancakes, Sausage  18/cs",1
123588,Sausage Scramble  18/cs,1
123589,Bacon Scramble 18/cs,1
123590,Mini Pancakes and Syrup  18/cs,1
123587,"Maple Pancakes, Sausage  18/cs",1
123588,Sausage Scramble  18/cs,1
11009260,Sample HamEggCheddar Lab 32/cs,2
11009261,Sample BaconEggGouda Lab 32/cs,2
11010010,Sample Vegetarian Lab 32/cs,2
11019027,Chicken Wrap 32/cs ,2
11019030,Sample Chicken Wrap 32/cs ,2
11020154,RstdTom&Mozz Panini 24/cs ,2
11020155,Ham & Swiss Panini 24/cs ,2
11020156,Tuna Melt Panini 24/cs ,2
19589,Bacon Egg Gouda Labaccia 32/cs,2
19591,Sausage Egg Cheddar Muff 24/cs,2
19594,Vegetarian Labaccia 32/cs,2
19595,Egg White Wrap w/Spinach 32/cs,2
19596,RF Turkey Bacon 24/cs,2
19597,Ham Egg Cheddar Lab 32/cs,2
19137,Cheeseburger Angus 20/cs,3
19151,Hebrew National Hot Dog 20/cs,3
19152,Plain Bagel Cream Cheese 24/cs,3
19156,Ham & Swiss Wheat Ciab 20/cs,3
19157,Sausage Egg & Cheese Muf 20/cs,3
19160,Orange Chicken Bowl 12/cs,3
19161,Sausage Breakfast Bowl 12/cs,3
19162,Enchilada - Sonora Style 12/cs,3
19163,Buffalo Chicken Wings 18/cs,3
19164,Pulled Pork Sandwich 20/cs,3
19165,Vegan Burger w/BBQ 20/cs,3
19233,Turkey & Swiss Hoagie 20/cs,3
19137,Cheeseburger Angus 20/cs,3
19151,Hebrew National Hot Dog 20/cs,3
19152,Plain Bagel Cream Cheese 24/cs,3
19156,Ham & Swiss Wheat Ciab 20/cs,3
19157,Sausage Egg & Cheese Muf 20/cs,3
19160,Orange Chicken Bowl 12/cs,3
19161,Sausage Breakfast Bowl 12/cs,3
19162,Enchilada - Sonora Style 12/cs,3
19163,Buffalo Chicken Wings 18/cs,3
19164,Pulled Pork Sandwich 20/cs,3
19165,Vegan Burger w/BBQ 20/cs,3
19233,Turkey & Swiss Hoagie 20/cs,3
19137,Cheeseburger Angus 20/cs,3
19151,Hebrew National Hot Dog 20/cs,3
19152,Plain Bagel Cream Cheese 24/cs,3
19156,Ham & Swiss Wheat Ciab 20/cs,3
19157,Sausage Egg & Cheese Muf 20/cs,3
19160,Orange Chicken Bowl 12/cs,3
19161,Sausage Breakfast Bowl 12/cs,3
19162,Enchilada - Sonora Style 12/cs,3
19163,Buffalo Chicken Wings 18/cs,3
19164,Pulled Pork Sandwich 20/cs,3
19165,Vegan Burger w/BBQ 20/cs,3
19233,Turkey & Swiss Hoagie 20/cs,3
19137,Cheeseburger Angus 20/cs,3
19151,Hebrew National Hot Dog 20/cs,3
19152,Plain Bagel Cream Cheese 24/cs,3
19156,Ham & Swiss Wheat Ciab 20/cs,3
19157,Sausage Egg & Cheese Muf 20/cs,3
19160,Orange Chicken Bowl 12/cs,3
19161,Sausage Breakfast Bowl 12/cs,3
19162,Enchilada - Sonora Style 12/cs,3
19163,Buffalo Chicken Wings 18/cs,3
19164,Pulled Pork Sandwich 20/cs,3
19165,Vegan Burger w/BBQ 20/cs,3
19233,Turkey & Swiss Hoagie 20/cs,3
11019027,Chicken Wrap 32/cs ,2
11019030,Sample Chicken Wrap 32/cs ,2
11020154,RstdTom&Mozz Panini 24/cs ,2
11020155,Ham & Swiss Panini 24/cs ,2
11020156,Tuna Melt Panini 24/cs ,2
19595,Egg White Wrap w/Spinach 32/cs,2
19597,Ham Egg Cheddar Lab 32/cs,2
11019027,Chicken Wrap 32/cs ,2
11019030,Sample Chicken Wrap 32/cs ,2
11020154,RstdTom&Mozz Panini 24/cs ,2
11020155,Ham & Swiss Panini 24/cs ,2
11020156,Tuna Melt Panini 24/cs ,2
19595,Egg White Wrap w/Spinach 32/cs,2
19597,Ham Egg Cheddar Lab 32/cs,2
11019027,Chicken Wrap 32/cs ,2
11019030,Sample Chicken Wrap 32/cs ,2
11020154,RstdTom&Mozz Panini 24/cs ,2
11020155,Ham & Swiss Panini 24/cs ,2
11020156,Tuna Melt Panini 24/cs ,2
19595,Egg White Wrap w/Spinach 32/cs,2
19597,Ham Egg Cheddar Lab 32/cs,2
85450,"Bacon, Egg,Chs Bisc 12/2x2pk",4
85451,"Sausage, Egg,Chs Croi 12/2x2pk",4
85452,"Sausage, Egg,Chs Muf 12/2x2pk",4
85453,"Sausage, Egg,Chs Bisc 12/2x2pk",4
123587,"Maple Pancakes, Sausage  18/cs",1
123588,Sausage Scramble  18/cs,1
123589,Bacon Scramble 18/cs,1
123590,Mini Pancakes and Syrup  18/cs,1
123591,Mini Waffles and Syrup  18/cs,1
123592,French Toast and Syrup  18/cs,1
125000,Polish Sausage Baguetta 24/cs,1
125001,Bacn Egg Cheese Baguetta 24/cs,1
125002,Cheesy Beef Baguetta 24/cs,1
123128,Cheeseburger  12/cs,1
123412,Double Cheeseburger  12/cs,1
123497,Hickory Rib Sandwich  12/cs,5
123545,Ham Egg & Cheese Muffin  12/cs,1
123555,Sausage Egg Cheese Muffin12/cs,5
123594,Ham & Cheese Double Wdge 12/cs,1
123595, Egg Salad Double Wedge 12/cs,1
123596,Chicken Salad Dble Wdge 12/cs,1
123597,Turkey Cheese Dbl Wedge 12/cs,1
123598,Ham & Cheese Hoagie 12/cs,1
123599,Turkey Cheese Hoagie 12/cs,1
123600,Ham & Turkey Hoagie 12/cs,1
123601,Tuna Salad Double Wedge on,1
123607,"OP Dbl Wdge Turk,Sws,Ham 12/cs",1
125000,Polish Sausage Baguetta 24/cs,1
125001,Bacn Egg Cheese Baguetta 24/cs,1
125002,Cheesy Beef Baguetta 24/cs,1
85400,"Sausage, Egg,Chs Cro 12/1x4pk",6
85401,"Sausage, Egg,Chs Bis 12/1x4pk",6
85402,"Bacon, Egg, Chs Bisc 12/1x4pk",6
85403,"Ham, Egg, Chs Crois 12/1x4pk",6
85410,"Sausage, Egg,Chs Cro 12/1x4pk",6
85411,"Sausage, Egg, Chs Bis 12/1x4pk",6
85412,"Bacon, Egg,Chs Bisc 12/1x4pk",6
85413,"Ham, Egg, Chs Crois 12/1x4pk",6
85417,"Bacon, Egg , Chs Bisc 12/1x4pk",6
85418,"Sausage, Egg,Chs Bisc 12/1x4pk",6
85419,"Ham, Egg , Chs Croiss 12/1x4pk",6
85420,"Saus, Egg , Chs Crois 12/1x4pk",6
87600,Angus Burger 12/cs,7
87601,Angus Cheeseburger 12/cs,7
87602,Angus Bacon Cheeseburger 12/cs,7
86700,Spinach n' Cheese  Wrap 32/cs,8
86701,SW Style Chken Chor Wrap 32/cs,8
86702,Turkey Saus n' Chse Wrap 32/cs,8
86703,"Brie,Aple,Fig Rais Bread 20/cs",8
86704,Thai Chckn & Chili Wrap 28/cs,8
86705,"Turkey,Dijon & Jack Wrap 28/cs",8
86706,Hummus & Cheese Wrap 28/cs,8
123128,Cheeseburger  12/cs,1
123412,Double Cheeseburger  12/cs,1
123555,Sausage Egg Cheese Muffin12/cs,5
124100,"Sausage, Egg, Cheese Muf 12/cs",9
124101,"Can Bac,Egg,Cheese Muff 12/cs",9
